Customerorder nummer,klantnr,AAR nummer,RR code laden,RR code lossen,Laden van,Laden tot,Lossen van,Lossen tot,Operator,Logistieke service,Laadpartij,Laadstraat,Laadhuisnummer,Laadpostcode,Laadplaats,Laadland,Lospartij,Postcode laden,Land laden,Postcode lossen,Plaats lossen,TIS code lossen,OldName,Collectiedagen,rc_large_scheduled,Uitvoeringsdagen,rc_large_pickup_min,rc_large_pickup_median,rc_large_pickup_q95,rc_large_pickup_max,DropOffTime_min,DropOffTime_median,DropOffTime_max,dropoff_date,order_number,Transporthulpmiddeltype,DropOffTime2,Order_ID,AdresID,lat_laden,lon_laden,laadtijd_t,lostijd_t,RCP_equiv_ordered,RCP_equiv_realised,Pakketten_realised,HBR,ColloData_Klant_Naam,Accountnummer,postal_code__c,house_number__c,total,NMG,ALM,AME,AMS,APE,ARD,BOR,BRE,AL,HER,DEN,DTD,DOR,ELT,GOE,HAL,HEN,HGV,KOL,LEE,NAM,NIE,OEV,OPM,RID,SAS,SNI,STT,SON,TIL,UTR,VEN,VIL,WVN,WZN,WIL,WML,ZWO,MECH,ASN,%WEST,%OOST,%ZUID,%BE,Vulgraad,Pakketten_NMG
C5419907934,10462890,3303,3364BA12B,3316BZ2D,16:00:00,16:30:00,16:00:00,17:50:00,TransportBV,75,BURGERHOUT BV,RINGERSSTRAAT,12,3364BA,SLIEDRECHT,NL,DEPOT DORDRECHT,3364BA,NL,3316BZ,DORDRECHT,DDT-ZS,DOR,0,48,0,28,28,28,28,143,143,143,{'2022-05-23'},D108854588,{'RCP'},{'2022-05-23 16:50:00+02:00'},C5419907934,3364BA_RINGERSSTRAAT_12_SLIEDRECHT_NL,51.8318442,4.7536674,142,147,48,28,255,532969,Baby & Tiener Megastore,10462890,3364BA,12,10735,0.181276199,0.035491383,0.031206334,0.02617606,0.029436423,0.027200745,0.022636237,0.019934793,0.01266884,0.024965068,0.041918957,0.020586865,0.041546344,0.0258966,0.028318584,0.028877503,0.027014439,0.026828132,0.020959478,0.024033535,0.00605496,0.025989753,0.015090824,0.029529576,0.052724732,0.025710293,0.021425245,0.028691197,0.020027946,0.020773172,0.028225431,0.020959478,0.026362366,0.032417327,0.033442012,0.03223102,0.037727061,0.026921286,,,31.2,27.4,19.9,21.5,11.12,56
C5407396592,1104209,2725,2665NM31M,2742RJ2D,21:45:00,22:15:00,21:45:00,23:00:00,TransportBV,75,MISI BV [BLEISWIJK],SPECTRUMLAAN,31,2665NM,BLEISWIJK,NL,DEPOT WADDINXVEEN,2665NM,NL,2742RJ,WADDINXVEEN,WVN-O,WVN,0,16,0,8,8,8,8,166,166,166,{'2022-05-23'},D108857412,{'RCP'},{'2022-05-23 22:36:00+02:00'},C5407396592,2665NM_SPECTRUMLAAN_31_BLEISWIJK_NL,52.0446476,4.539245,165,168,16,8,293,1104209,Misi BV,1104209,2665NM,31,18001,0.002110994,0.040553303,0.04588634,0.050663852,0.036331315,0.011277151,0.026665185,0.026220766,0.007944003,0.032331537,0.027998445,0.011221599,0.032720404,0.041219932,0.02788734,0.036609077,0.026442975,0.030276096,0.024387534,0.034498083,0.001666574,0.042164324,0.008888395,0.040553303,0.029776124,0.038164546,0.011221599,0.011221599,0.026276318,0.026276318,0.029498361,0.024998611,0.012110438,0.034831398,0.038942281,0.012665963,0.016221321,0.02338759,,,33.5,34.5,22.3,9.6,36.65,1
C5295702405,9076266,142-ND,3439JJ34B,1358CD10D,22:00:00,22:30:00,22:00:00,23:30:00,TransportBV,75,BFC XL iz. Bol.com [NIEUWEGEIN],INUNDATIEDOK,34,3439JJ,NIEUWEGEIN,NL,DEPOT ALMERE,3439JJ,NL,1358CD,ALMERE,ALR-WV,ALM,0,48,0,48,48,48,48,171,171,171,{'2022-05-23'},D108857436,{'RCP'},{'2022-05-23 23:56:00+02:00'},C5295702405,3439JJ_INUNDATIEDOK_34_NIEUWEGEIN_NL,52.0223256,5.1228644,166,170,48,48,1920,9930,Bol.Com,9076266,3439JJ,34,643776,4.66E-05,0.029100184,0.029643851,0.03094244,0.028143329,0.037680808,0.022456569,0.02364487,0.008319664,0.023115183,0.024371831,0.038814743,0.024211838,0.027118128,0.019659012,0.02572168,0.019466398,0.023382357,0.022006102,0.020055112,0.002336216,0.033674756,0.028307983,0.02333265,0.024183878,0.027810916,0.038749503,0.035075865,0.021547868,0.020083072,0.02345381,0.018590317,0.045800092,0.026978328,0.025443633,0.050119917,0.055269224,0.021387874,,,24.1,25.4,17.3,33.2,40,0
C5291321098,10291783,2721,2723RS33H,2742RJ2D,20:30:00,21:00:00,20:30:00,21:30:00,TransportBV,75,HD SHOPS,EDISONSTRAAT,15,2723RS,ZOETERMEER,NL,DEPOT WADDINXVEEN,2723RS,NL,2742RJ,WADDINXVEEN,WVN-O,WVN,0,10,0,7,7,7,7,162,162,162,{'2022-05-23'},D108856070,{'RCP'},{'2022-05-23 21:33:00+02:00'},C5291321098,2723RS_EDISONSTRAAT_15_ZOETERMEER_NL,52.0630337,4.5232379,160,162,10,7,141,10291783,HD Shops,10291783,2723RS,15,6188,0.250323206,0.040239173,0.044764059,0.03539108,0.037815126,0.005009696,0.017937944,0.037330317,0.016321913,0.034421461,0.029088559,0.004040078,0.033936652,0.036845507,0.026987718,0.037168714,0.033290239,0.037815126,0.026341306,0.02811894,0.000808016,0.0468649,0.006464124,0.037653523,0.028442146,0.040400776,0.005656109,0.004201681,0.033451842,0.027957337,0.034098255,0.029896574,0.004848093,0.042663219,0.035714286,0.010504202,0.015513898,0.031997414,,,33.7,36.4,24.2,5.7,26.94,47
C6162478401,10521080,5904,5928LN8B,5928SC66D,17:30:00,18:00:00,17:30:00,21:00:00,TransportBV,75,BACKES & BOELS,MAGALHAESWEG,8,5928LN,BLERICK,NL,DEPOT VENLO,5928LN,NL,5928SC,VENLO,VL-PO,VEN,0,30,0,21,21,21,21,150,150,150,{'2022-05-23'},D108857171,{'RCP'},{'2022-05-23 18:35:00+02:00'},C6162478401,5928LN_MAGALHAESWEG_8_BLERICK_NL,51.3934725,6.0916699,148,160,30,21,937,10521169,Backes & Boels B.V.,10521080,5928LN,8,29333,0.006409164,0.035454948,0.035591314,0.023488903,0.034602666,0.01629564,0.026591211,0.032898101,0.01026148,0.033852657,0.027477585,0.015068353,0.038932261,0.03180718,0.041250469,0.027136672,0.02867078,0.042580029,0.03364811,0.036784509,0.001772747,0.039409539,0.015102444,0.037364061,0.033307197,0.029011693,0.014625166,0.015136536,0.01210241,0.023863908,0.026113933,0.018341118,0.015818362,0.035114035,0.035352674,0.018238844,0.024954829,0.031977636,,,28.5,35.1,22.8,13.7,44.91,6
C6136476030,10456614,1715,1721PP17E,1716KJ332D,21:15:00,21:45:00,21:15:00,22:45:00,TransportBV,75,EAS-E-COMM BV,VREEKESWEID,17,1721PP,BROEK OP LANGEDIJK,NL,DEPOT OPMEER,1721PP,NL,1716KJ,OPMEER,OPM-V,OPM,0,3,0,2,2,2,2,164,164,164,{'2022-05-23'},D108854684,{'RCP'},{'2022-05-23 22:05:00+02:00'},C6136476030,1721PP_VREEKESWEID_17_BROEK OP LANGEDIJK_NL,52.6739105,4.7947908,163,167,3,2,265,10456614,Eas-E-Comm B.V.,10456614,1721PP,17,8259,0,0.03620293,0.032328369,0.047463373,0.024821407,0.029180288,0.027969488,0.028574888,0.013924204,0.030027848,0.033054849,0.024821407,0.022884126,0.030391089,0.025063567,0.031965129,0.024216007,0.019372805,0.019978206,0.018040925,0.003269161,0.038987771,0.017556605,0.024216007,0.026758687,0.03705049,0.024216007,0.025305727,0.026637607,0.025184647,0.029301368,0.020462526,0.031722969,0.030512169,0.033539169,0.033054849,0.03511321,0.016830125,,,30.8,26.1,20.7,22.4,132.59,0
C6135733913,1002039,7536,7572PD9X,7554RR1D,22:45:00,23:15:00,22:45:00,23:59:00,TransportBV,75,XL SHOP GROUP,WATERWINWEG,9,7572PD,OLDENZAAL,NL,DEPOT HENGELO,7572PD,NL,7554RR,HENGELO,HGL-Z,HEN,0,10,0,8,8,8,8,168,168,168,{'2022-05-23'},D108855226,{'RCP'},{'2022-05-23 23:00:00+02:00'},C6135733913,7572PD_WATERWINWEG_9_OLDENZAAL_NL,52.2994331,6.9015077,169,171,10,8,145,1002039,XLShop Group B.V.,1002039,7572PD,9,17782,0.111236081,0.027724665,0.041783826,0.018220673,0.038240918,0.020751322,0.02463165,0.028793162,0.010178833,0.034473063,0.029917895,0.019176696,0.037116185,0.026093803,0.031155101,0.025025306,0.038465864,0.037228658,0.024013047,0.029130581,0.002643122,0.036947475,0.014227871,0.028399505,0.025981329,0.026656169,0.01709594,0.020413902,0.030648971,0.028174559,0.029018108,0.029074345,0.021651108,0.03267349,0.028287032,0.024350467,0.024912833,0.036722528,,,25.4,33.6,24.4,16.5,20.33,18
C6190494869,10422208,4809,B2320HOO27,4824AP1D,18:00:00,19:00:00,18:00:00,21:00:00,TransportBV,90,WHOLEFOODS [BE] (per 02-12-2019),PUTTEN,27,2320,HOOGSTRATEN,BE,DEPOT BREDA,2320,BE,4824AP,BREDA,BD-SB,BRE,0,37.5,0,25.5,25.5,25.5,25.5,168,168,168,{'2022-05-23'},D108855164,{'PEU'},{'2022-05-23 23:00:00+02:00'},C6190494869,2320_PUTTEN_27_HOOGSTRATEN_BE,51.39387765,4.73977598,152,160,37.5,25.5,765,10822614,Katoen Natie,10422208,2320,27,14979,0,0.033580346,0.03585019,0.027171373,0.035983711,0.019694239,0.029107417,0.027705454,0.007009814,0.025035049,0.029441218,0.02016156,0.029307697,0.031711062,0.043928166,0.026570532,0.023232526,0.037185393,0.024968289,0.031176981,0.002937446,0.034114427,0.018893117,0.038654116,0.029307697,0.030909941,0.021430002,0.021029441,0.028506576,0.024768009,0.02563589,0.022564924,0.028439816,0.03057614,0.03044262,0.021697043,0.0306429,0.02062888,,,27.6,30.8,23.1,18.5,30,0
C6173851042,10232256,1725,1601MJ20F,1716KJ332D,22:00:00,22:30:00,22:00:00,23:15:00,TransportBV,75,FEESTBAZAAR (nr20),HET WITTE HERT,20,1601MJ,ENKHUIZEN,NL,DEPOT OPMEER,1601MJ,NL,1716KJ,OPMEER,OPM-V,OPM,0,25,0,21,21,21,21,166,166,166,{'2022-05-23'},D108857751,{'RCP'},{'2022-05-23 22:34:00+02:00'},C6173851042,1601MJ_HET WITTE HERT_20_ENKHUIZEN_NL,52.6936692,5.2695103,166,169,25,21,825,10232256,Feestbazaar,10232256,1601MJ,20,32305,0.007336326,0.030490636,0.045782387,0.021978022,0.05098282,0.008203065,0.022782851,0.035876799,0.010617551,0.037641232,0.023866275,0.00780065,0.040891503,0.028447609,0.031914564,0.023866275,0.037300727,0.054387866,0.029159573,0.042624981,0.000681009,0.041293917,0.005943352,0.047330135,0.028138059,0.033988547,0.005726668,0.005881443,0.020337409,0.025878347,0.032316979,0.026652221,0.004983749,0.037176908,0.028726203,0.010091317,0.008543569,0.051694784,,,28.8,41.2,24.2,5.8,39.6,6
C6172544148,9076266,BEL 2820,3439JJ34B,B2830WIL21,23:30:00,0:00:00,23:30:00,2:00:00,TransportBV,75,BFC XL iz. Bol.com [NIEUWEGEIN],INUNDATIEDOK,34,3439JJ,NIEUWEGEIN,NL,DEPOT WILLEBROEK (B),3439JJ,NL,2830,WILLEBROEK,TPB-WB,WIL,0,48,0,47,47,47,47,179,179,179,{'2022-05-23'},D108857346,{'RCP'},{'2022-05-24 01:57:00+02:00'},C6172544148,3439JJ_INUNDATIEDOK_34_NIEUWEGEIN_NL,52.0223256,5.1228644,172,180,48,47,1880,9930,Bol.Com,9076266,3439JJ,34,643776,4.66E-05,0.029100184,0.029643851,0.03094244,0.028143329,0.037680808,0.022456569,0.02364487,0.008319664,0.023115183,0.024371831,0.038814743,0.024211838,0.027118128,0.019659012,0.02572168,0.019466398,0.023382357,0.022006102,0.020055112,0.002336216,0.033674756,0.028307983,0.02333265,0.024183878,0.027810916,0.038749503,0.035075865,0.021547868,0.020083072,0.02345381,0.018590317,0.045800092,0.026978328,0.025443633,0.050119917,0.055269224,0.021387874,,,24.1,25.4,17.3,33.2,40,0
C6085178307,9244657,PREM.3480,5145NP8X,5222AL4D,23:30:00,0:00:00,23:30:00,1:00:00,TransportBV,75,XENOS DC (COOK&CO),SCHUTWEG,8,5145NP,WAALWIJK,NL,DEPOT DEN BOSCH,5145NP,NL,5222AL,DEN BOSCH,HT-KK,HER,0,48,0,30,30,30,30,173,173,173,{'2022-05-23'},D108854568,{'RCP'},{'2022-05-24 00:18:00+02:00'},C6085178307,5145NP_SCHUTWEG_8_WAALWIJK_NL,51.6997432,5.0451715,172,176,48,30,241,10581509,Xenos B.V.,9244657,5145NP,8,1120,0.304464286,0.049107143,0.048214286,0.040178571,0.032142857,0.004464286,0.026785714,0.025,0.009821429,0.036607143,0.0375,0.000892857,0.034821429,0.044642857,0.023214286,0.025892857,0.03125,0.034821429,0.0375,0.033928571,0.00625,0.05,0.005357143,0.035714286,0.034821429,0.033035714,0.002678571,0.011607143,0.017857143,0.039285714,0.036607143,0.03125,0.000892857,0.0375,0.035714286,0.00625,0.008928571,0.029464286,,,32.7,39.1,23.5,4.7,11.55,105
C6075679179,10419155,3482,3449HK21T,3439JG4D,16:30:00,17:00:00,16:30:00,21:00:00,TransportBV,75,TWIN SPORT ONLINE BV,TOUWSLAGERSWEG,21,3449HX,WOERDEN,NL,DEPOT NIEUWEGEIN,3449HX,NL,3439JG,NIEUWEGEIN,NIWG-MO,NIE,0,10,0,6,6,6,6,151,151,151,{'2022-05-23'},D108857223,{'RCP'},{'2022-05-23 18:52:00+02:00'},C6075679179,3449HX_TOUWSLAGERSWEG_21_WOERDEN_NL,52.0831624,4.8649118,144,160,10,6,1207,54420,Twin Sport Online B.V.,10419155,3449HX,21,19639,0.006212129,0.031824431,0.041600896,0.034523143,0.040022404,0.004022608,0.026070574,0.028209176,0.012933449,0.040480676,0.036050715,0.004277204,0.035185091,0.039258618,0.025255868,0.035388767,0.049340598,0.031213402,0.025815978,0.024084729,0.001425735,0.045929019,0.002851469,0.029431234,0.032180865,0.04195733,0.003971689,0.006008453,0.030398696,0.035439686,0.044299608,0.031722593,0.007434187,0.037578288,0.03747645,0.005804776,0.007434187,0.033097408,,,34.2,36.2,25.3,4.3,202.5,8
C6086100681,10594729,EXPRESS 5687,5048AB19PO,5692CK402D,23:00:00,23:30:00,23:00:00,23:30:00,Zelfbrenger,75,PONDRES INZAKE HALLMARK,KRAAIVENSTRAAT,19,5048AB,TILBURG,NL,DEPOT SON,5048AB,NL,5692CK,SON,SON-EK,SON,0,8,0,6,6,6,6,172,172,172,{'2022-05-23'},D108858372,{'RCP'},{'2022-05-24 00:10:00+02:00'},C6086100681,5048AB_KRAAIVENSTRAAT_19_TILBURG_NL,51.580865,5.0641899,170,170,8,6,226,204011,Hallmark Gifts af Pondres,10594729,5048AB,19,40686,2.46E-05,0.035614216,0.038391584,0.022538465,0.034409871,0.018138918,0.026372708,0.029494175,0.014501303,0.03119009,0.034975176,0.020277245,0.042004621,0.033082633,0.03005948,0.028486457,0.025487883,0.030968884,0.027773681,0.025070049,0.001302659,0.03991545,0.013935998,0.028855134,0.038489898,0.03168166,0.016074325,0.015066608,0.027773681,0.024332694,0.030673942,0.022661358,0.016541316,0.040628226,0.031337561,0.022759672,0.021948582,0.027183798,,,30.2,31.8,23.4,14.6,37.68,0
C6101125679,10509949,9629,9641KK12D,9615TP2D,21:15:00,21:45:00,21:15:00,23:30:00,TransportBV,75,DUOVORM VOF/MEUBELBESLAGONLINE.NL,LLOYDWEG,12,9641KK,VEENDAM,NL,DEPOT KOLHAM,9641KK,NL,9615TP,KOLHAM,KHM-O,KOL,0,12,0,11,11,11,11,169,169,169,{'2022-05-23'},D108855152,{'RCP'},{'2022-05-23 23:25:00+02:00'},C6101125679,9641KK_LLOYDWEG_12_VEENDAM_NL,53.1073046,6.8907064,163,170,12,11,414,10509949,Duovorm VOF meubelbeslagonline.nl,10509949,9641KK,12,16385,0.091425084,0.028623741,0.044491913,0.023802258,0.036435764,0.026304547,0.018553555,0.028379616,0.008483369,0.035703387,0.022703692,0.024839792,0.030210558,0.026121453,0.032163564,0.025877327,0.028928898,0.031064998,0.020018309,0.033872444,0.001647849,0.034604821,0.019896247,0.038754959,0.024229478,0.027464144,0.018980775,0.021055844,0.026609704,0.027769301,0.030210558,0.030149527,0.021666158,0.031370156,0.032712847,0.024839792,0.02941715,0.032041501,,,26.6,31.6,23,18.9,41.42,42
C6203053228,2545860,5067 XL,5492HE26B,5048AD82D,15:45:00,16:45:00,15:45:00,17:30:00,TransportBV,75,BABY DUMP,NIJNSELSEWEG,26,5492HE,SINT OEDENRODE,NL,DEPOT TILBURG,5492HE,NL,5048AD,TILBURG,TB-LE,TIL,0,20,0,26,26,26,26,139,139,139,{'2022-05-23'},D108855149,{'RCP'},{'2022-05-23 15:45:00+02:00'},C6203053228,5492HE_NIJNSELSEWEG_26_SINT OEDENRODE_NL,51.5558903,5.4732125,143,146,20,20,440,10478881,Baby Dump B.V.,2545860,5492HE,26,100084,0.049048799,0.037398585,0.039097158,0.026427801,0.031123856,0.017125614,0.027636785,0.024799169,0.011090684,0.03052436,0.031203789,0.018364574,0.031263738,0.02934535,0.02629791,0.030604292,0.025608489,0.032512689,0.026158027,0.030574318,0.001798489,0.034411095,0.017025698,0.028016466,0.031203789,0.031363655,0.020013189,0.021102274,0.027406978,0.022760881,0.032592622,0.0265477,0.022800847,0.031283722,0.030993965,0.031573478,0.031303705,0.030644259,,,28.5,31.7,21.7,18.1,23.16,23
C6374392906,10575567,3832,6716BZ37W,3815KP8D,14:30:00,15:00:00,14:30:00,21:00:00,TransportBV,75,AS WATSON iz KRUIDVAT [EDE],CELSIUSSTRAAT,37,6716BZ,EDE GLD,NL,DEPOT AMERSFOORT,6716BZ,NL,3815KP,AMERSFOORT,AMF-WT,AME,0,48,0,48,48,48,48,138,138,138,{'2022-05-23'},D108856792,{'RCP'},{'2022-05-23 15:30:00+02:00'},C6374392906,6716BZ_CELSIUSSTRAAT_37_EDE GLD_NL,52.0305731,5.6161719,136,160,48,48,998,10602178,Kruidvat NL,10575567,6716BZ,37,427506,4.68E-06,0.039997099,0.042509345,0.023573938,0.041416963,0,0.0315902,0.036953867,0.013931968,0.041604094,0.043391204,0,0.041662573,0.036413524,0.038878986,0.029828821,0.032404224,0.044984164,0.0310405,0.038712907,0,0.03686498,0,0.034794833,0.038935126,0.029424148,0,0,0.03142412,0.031475582,0.033585494,0.039063779,2.34E-06,0.039498861,0.035917625,0,0,0.040118735,,,32.3,38.4,29.3,0,20.79,0
C6370723680,9076266,BEL 2813,5145NS16I,B2830WIL21,23:30:00,0:00:00,23:30:00,2:00:00,TransportBV,75,INGRAM MICRO VEERWEG 16 H1 (BOL.COM),VEERWEG,16,5145NS,WAALWIJK,NL,DEPOT WILLEBROEK (B),5145NS,NL,2830,WILLEBROEK,TPB-WB,WIL,0,48,0,12,12,12,12,178,178,178,{'2022-05-23'},D108857345,{'RCP'},{'2022-05-24 01:36:00+02:00'},C6370723680,5145NS_VEERWEG_16_WAALWIJK_NL,51.703554,5.0419503,172,180,48,12,480,9930,Bol.Com,9076266,5145NS,16,643776,4.66E-05,0.029100184,0.029643851,0.03094244,0.028143329,0.037680808,0.022456569,0.02364487,0.008319664,0.023115183,0.024371831,0.038814743,0.024211838,0.027118128,0.019659012,0.02572168,0.019466398,0.023382357,0.022006102,0.020055112,0.002336216,0.033674756,0.028307983,0.02333265,0.024183878,0.027810916,0.038749503,0.035075865,0.021547868,0.020083072,0.02345381,0.018590317,0.045800092,0.026978328,0.025443633,0.050119917,0.055269224,0.021387874,,,24.1,25.4,17.3,33.2,40,0
C6356735042,10350164,0073-NMG XL V,B9100SIN42,3433KE1S,20:30:00,21:30:00,20:30:00,0:30:00,TransportBV,90,RIMATEX iz INTERGAMMA,INDUSTRIEPARK WEST,42,9100,SINT NIKLAAS,BE,SKP NIEUWEGEIN-PELOTONSDOK,9100,BE,3433KE,SKP,SKP-NIWG-P,SKP,0,30,0,30,30,30,30,173,173,173,{'2022-05-23'},D108857965,{'PEU'},{'2022-05-24 00:15:00+02:00'},C6356735042,9100_INDUSTRIEPARK WEST_42_SINT NIKLAAS_BE,51.1400229,4.159047357,162,174,30,30,326,10350164,Intergamma B.V.,10350164,9100,42,52329,0.210399587,0.047029372,0.039156108,0.036862925,0.043302949,5.73E-05,0.032429437,0.027499092,0.012612509,0.032238338,0.038028627,0.000114659,0.034263984,0.039901393,0.044869957,0.035467905,0.032295668,0.042232796,0.035219477,0.03613675,3.82E-05,0.039423647,0,0.039920503,0.043341168,0.043685146,3.82E-05,0,0.026295171,0.02360068,0.033289381,0.036060311,7.64E-05,0.033499589,0.036079421,5.73E-05,0,0.034875499,,,35.3,39,25.7,0,13.76,87
C6352011815,889977,6646,6881WC22C,6662NG2D,16:15:00,16:45:00,16:15:00,21:00:00,TransportBV,75,CCV HOLLAND BV,STATIONSPLEIN,22,6881WC,VELP GLD,NL,DEPOT ELST,6881WC,NL,6662NG,ELST,ELT-N,ELT,0,5,0,3,3,3,3,144,144,144,{'2022-05-23'},D108855136,{'RCP'},{'2022-05-23 17:05:00+02:00'},C6352011815,6881WC_STATIONSPLEIN_22_VELP GLD_NL,51.9954464,5.9803719,143,160,5,3,183,10475371,CCV Systems B.V.,889977,6881WC,22,9884,0.000202347,0.025900445,0.046236342,0.067887495,0.036624848,0.028126265,0.034399029,0.032274383,0.006778632,0.031869688,0.021853501,0.013557264,0.022764063,0.033690813,0.037737758,0.027013355,0.034904897,0.024989883,0.027519223,0.031161473,0.01092675,0.032577904,0.007385674,0.035714286,0.026912181,0.028227438,0.01315257,0.012444355,0.033994334,0.02994739,0.01790773,0.031566168,0.016491299,0.028429786,0.028328612,0.009004452,0.020133549,0.031566168,,,28.9,32.5,25.5,13.1,61.16,0
C6210879184,9705023,ZB 5229,5349TG135P,5222AL4D,18:30:00,19:30:00,18:30:00,20:30:00,Zelfbrenger,75,DE POSTBODE,ANGELENWEG,135,5349TG,OSS,NL,DEPOT DEN BOSCH,5349TG,NL,5222AL,DEN BOSCH,HT-KK,HER,0,15,0,12.86,12.86,12.86,12.86,155,155,155,{'2022-05-23'},D108858211,{'RCP'},{'2022-05-23 19:45:00+02:00'},C6210879184,5349TG_ANGELENWEG_135_OSS_NL,51.7611149,5.5645578,154,158,15,12.86,311,9705023,depostBode B.V.,9705023,5349TG,135,23994,0.072143036,0.032841544,0.04276069,0.022630658,0.047303493,0.009710761,0.029257314,0.043177461,0.01029424,0.032383096,0.026423272,0.00758523,0.039968325,0.042010503,0.030966075,0.019671585,0.032091356,0.030257564,0.02188047,0.023964324,0.001625406,0.04076019,0.007418521,0.0254647,0.030507627,0.027131783,0.007960323,0.01058598,0.041176961,0.049470701,0.025714762,0.06264066,0.00958573,0.031007752,0.025756439,0.010627657,0.012169709,0.035217138,,,24.5,34.9,32.9,7.7,26.07,24
C6293515047,10442666,1065,1506RZ6H,1114AN150D,13:30:00,14:00:00,13:30:00,18:00:00,TransportBV,75,HORNBACH [ZAANDAM],SYMON SPIERSWEG,6,1506RZ,ZAANDAM,NL,DEPOT AMSTERDAM ZUIDOOST,1506RZ,NL,1114AN,AMSTERDAM,ASD-JOA,AMS,0,10,0,14.5,14.5,14.5,14.5,137,137,137,{'2022-05-23'},D108856992,{'RCP'},{'2022-05-23 15:20:00+02:00'},C6293515047,1506RZ_SYMON SPIERSWEG_6_ZAANDAM_NL,52.4252465,4.8235657,132,148,10,10,161,9016133,Hornbach Bouwmarkt (Nederland) B.V.,10442666,1506RZ,6,15391,0.168994867,0.039893444,0.03872393,0.037424469,0.03872393,0,0.042817231,0.040348255,0.009226171,0.038788903,0.04086804,0,0.043207069,0.039633552,0.030017543,0.030407381,0.022935482,0.039243714,0.03787928,0.029367812,0,0.047755182,0,0.031901761,0.041452797,0.031576896,0,0,0.039048795,0.033461114,0.028977974,0.03144695,0,0.042557339,0.039048795,0,0,0.033266195,,,33.3,36.7,29.9,0,19.38,33
C6266462068,10392216,1063,1967DA185N,1114AN150D,16:00:00,17:00:00,16:00:00,21:00:00,TransportBV,75,NUTRI-DYNAMICS,DE TROMPET,1185,1967DA,HEEMSKERK,NL,DEPOT AMSTERDAM ZUIDOOST,1967DA,NL,1114AN,AMSTERDAM,ASD-JOA,AMS,0,3,0,1,1,1,1,148,148,148,{'2022-05-23'},D108856984,{'RCP'},{'2022-05-23 18:00:00+02:00'},C6266462068,1967DA_DE TROMPET_1185_HEEMSKERK_NL,52.5076877,4.6997142,144,160,3,1,30,10392216,Nutri-Dynamics Health Products B.V.,10392216,1967DA,1185,2763,0.000361925,0.03257329,0.039811799,0.01194354,0.040897575,0.011581614,0.026058632,0.030763663,0.011219689,0.043069128,0.021353601,0.01194354,0.035830619,0.035468693,0.036916395,0.023525154,0.041983351,0.037278321,0.032211364,0.039087948,0,0.03257329,0.011581614,0.038002172,0.035468693,0.032935215,0.008686211,0.009771987,0.029677886,0.042345277,0.023163228,0.028954035,0.005790807,0.039449873,0.035830619,0.016286645,0.011581614,0.034382917,,,27.3,36.6,27.4,8.7,30.22,0
C6059379120,10298866,48130,4791RW4J,4824AP1D,22:00:00,22:30:00,22:00:00,23:15:00,TransportBV,75,JERDA PHARMA,KIEVIETWEG,4,4791RW,KLUNDERT,NL,DEPOT BREDA,4791RW,NL,4824AP,BREDA,BD-SB,BRE,0,12,0,7,7,7,7,171,171,171,{'2022-05-23'},D108857288,{'RCP'},{'2022-05-23 23:48:00+02:00'},C6059379120,4791RW_KIEVIETWEG_4_KLUNDERT_NL,51.6632832,4.558586,166,169,12,7,225,10298866,Pharma Horse,10298866,4791RW,4,3755,0.002130493,0.029294274,0.036218375,0.010386152,0.036218375,0.015446072,0.031691079,0.046870839,0.007723036,0.028229028,0.019973369,0.011185087,0.031424767,0.028229028,0.052463382,0.018908123,0.033022636,0.051664447,0.026364847,0.037549933,0.007989348,0.02689747,0.016245007,0.041011984,0.026631158,0.024500666,0.01517976,0.031424767,0.02183755,0.03195739,0.024500666,0.02689747,0.018109188,0.032223702,0.031424767,0.01517976,0.027962716,0.027163782,,,23.7,33.3,27.1,15.9,32.24,0
C5882070214,9088152,5057,4921XG4J,5048AD82D,14:30:00,15:30:00,14:30:00,21:00:00,TransportBV,75,JOLO HANDELSONDERNEMING [MADE],WATERTORENSTRAAT,4,4921XG,MADE,NL,DEPOT TILBURG,4921XG,NL,5048AD,TILBURG,TB-LE,TIL,0,3,0,1.5,1.5,1.5,1.5,146,146,146,{'2022-05-23'},D108857980,{'PEU'},{'2022-05-23 17:30:00+02:00'},C5882070214,4921XG_WATERTORENSTRAAT_4_MADE_NL,51.6746637,4.7750961,138,160,3,1.5,20,9088152,Jolo Handelsonderneming B.V.,9088152,4921XG,4,1734,0,0.019031142,0.048442907,0.014994233,0.05017301,0.020761246,0.025951557,0.049019608,0.000576701,0.028835063,0.009803922,0.019031142,0.01384083,0.006343714,0.04094579,0.005767013,0.023068051,0.039215686,0.020184544,0.028258362,0.092272203,0.020184544,0.044982699,0.024798155,0.003460208,0.026528258,0.009803922,0.025374856,0.039215686,0.024221453,0.024221453,0.028835063,0.004036909,0.033448674,0.020184544,0.035755479,0.020184544,0.058246828,,,16.4,31.3,25.1,27.2,13.56,0
