,AAR nummer,Gecombineerde order,Customerorder nummer,Laadpartij,Laadstraat,Laadhuisnummer,Laadpostcode,Laadplaats,Laadland,RR code laden,Laden van,Laden tot,Operator,Logistieke service,Lospartij huidig,Lospartij voorstel,Gepland lossen van huidig,Gepland lossen tot huidig,Median lostijd huidig gerealiseerd,Lostijd voorstel,#RCP equiv georderd,#RCP equiv gerealiseerd (max),Vulgraad,#Pakketten gerealiseerd (max),#Pakketten_NMG,Transporthulpmiddeltype,Collectiedag,Dagen uitgevoerd,%WEST,%OOST,%ZUID,%BE,huidig=voorstel
460,8076,,C3904224827,JEROEN BEEKMAN MODE,ESCUDO,10,8305BM,EMMELOORD,NL,8305BM10J,16:30:00,17:00:00,TransportBV,75.0,DEPOT ZWOLLE,DEPOT ZWOLLE,16:30:00,21:00:00,18:45:00,17:30:00,4.0,2.0,76.44,153.0,0.0,{'RCP'},Maandag,{'2022-05-23'},26.5,41.8,26.9,4.8,True
461,34082,,C3898701053,HIBBA.NL (Boogaart Tuinmeubelen),KERKENDIJK,92,5712EW,SOMEREN-HEIDE,NL,5712EW92H,16:00:00,17:00:00,TransportBV,75.0,DEPOT NIEUWEGEIN,DEPOT DEN BOSCH,16:00:00,21:00:00,18:30:00,17:45:00,48.0,28.0,5.49,106.0,47.0,{'RCP'},Maandag,{'2022-05-23'},25.3,31.7,25.2,17.8,False
462,5033,,C3969462762,DM Productions B.V.,CALENWIEL,1,5056DB,BERKEL-ENSCHOT,NL,5056DB1P,17:00:00,17:30:00,TransportBV,75.0,DEPOT TILBURG,DEPOT TILBURG,17:00:00,21:00:00,19:00:00,17:30:00,15.0,9.0,30.0,254.0,16.0,{'RCP'},Maandag,{'2022-05-23'},28.3,34.5,24.3,12.9,True
463,3306,,C3939727206,DENTALAIR PRODUCTS NEDERLAND,WIELDRECHTSEWEG,26,3316BG,DORDRECHT,NL,3316BG26D,19:30:00,20:00:00,TransportBV,75.0,DEPOT DORDRECHT,DEPOT DORDRECHT,19:30:00,21:00:00,20:15:00,20:00:00,35.0,31.0,30.24,937.0,0.0,{'RCP'},Maandag,{'2022-05-23'},35.9,37.7,25.3,1.2,True
464,6639,772,C3930994064,Babypark,HOGEVELDSEWEG,3,4041CP,KESTEREN,NL,4041CP3B,20:45:00,21:15:00,TransportBV,75.0,DEPOT ELST,DEPOT ELST,20:45:00,22:45:00,21:45:00,22:15:00,40.0,22.5,23.16,492.0,29.0,{'RCP'},Maandag,{'2022-05-23'},35.1,31.3,25.5,8.1,True
465,MIX 2845,,C3928671485,KOIF NV,TERBEKEHOFDREEF,51,2610,WILRIJK,BE,B2610WIL51,16:30:00,17:30:00,TransportBV,90.0,DEPOT WILLEBROEK (B),DEPOT WILLEBROEK,16:30:00,21:00:00,18:30:00,17:45:00,12.5,12.5,30.0,375.0,0.0,"{'RCP', 'PEU'}",Maandag,{'2022-05-23'},21.7,20.5,15.2,42.5,False
466,2106,352,C4177042394,MEKRO / KLEURO GROEP,BEDRIJFSWEG,13,2404CB,ALPHEN AAN DEN RIJN,NL,2404CB13K,22:45:00,23:15:00,TransportBV,75.0,DEPOT SASSENHEIM,DEPOT WADDINXVEEN,22:45:00,00:15:00,00:00:00,23:30:00,7.0,2.0,28.12,56.0,0.0,{'RCP'},Maandag,{'2022-05-23'},29.8,35.6,28.6,6.1,False
467,4872,,C4164343308,FRISTADS KANSAS BENELUX BV,VELDSTEEN,54,4815PK,BREDA,NL,4815PK54F,15:30:00,16:00:00,TransportBV,75.0,DEPOT BREDA,DEPOT BREDA,15:30:00,21:00:00,16:30:00,16:00:00,7.0,2.0,55.94,112.0,0.0,{'RCP'},Maandag,{'2022-05-23'},22.0,16.3,16.9,44.8,True
468,3846,,C4188518428,AS WATSON iz KRUIDVAT [EDE],CELSIUSSTRAAT,37,6716BZ,EDE GLD,NL,6716BZ37W,20:00:00,20:30:00,TransportBV,75.0,DEPOT AMERSFOORT,DEPOT AMERSFOORT,20:00:00,22:00:00,20:45:00,20:45:00,48.0,48.0,20.79,998.0,0.0,{'RCP'},Maandag,{'2022-05-23'},32.3,38.4,29.3,0.0,True
469,5616,931,C4111037780,MY MICRO,BOSBEEMD,16,5741TR,BEEK & DONK,NL,5741TR16M,17:00:00,17:30:00,TransportBV,75.0,DEPOT SON,DEPOT SON,17:00:00,21:00:00,18:00:00,18:15:00,12.0,9.0,40.34,363.0,0.0,{'RCP'},Maandag,{'2022-05-23'},17.5,25.8,21.1,35.5,True
470,1732,573,C4076990806,BEER IN A BOX BV,KITMANSTRAAT,12,1812PM,ALKMAAR,NL,1812PM12B,16:00:00,16:30:00,TransportBV,75.0,DEPOT OPMEER,DEPOT HALFWEG,16:00:00,20:00:00,18:00:00,17:30:00,6.0,1.0,26.98,27.0,0.0,{'RCP'},Maandag,{'2022-05-23'},34.8,36.5,25.3,3.4,False
471,6674,477,C4959667375,MYBOEKEN,EFFECT,4,6921RV,DUIVEN,NL,6921RV4M,16:30:00,17:00:00,TransportBV,75.0,DEPOT ELST,DEPOT ELST,16:30:00,21:00:00,18:00:00,18:00:00,6.0,4.0,62.87,251.0,0.0,{'RCP'},Maandag,{'2022-05-23'},24.3,20.6,13.2,41.9,True
472,7565 WL,,C4945208572,Kees Smit Tuinmeubelen B.V.,COLUMBUS,4,7609RM,ALMELO,NL,7609RM4K,20:00:00,20:30:00,TransportBV,75.0,DEPOT HENGELO,DEPOT APELDOORN,20:00:00,21:30:00,20:45:00,21:15:00,48.0,7.0,6.7,29.0,18.0,{'RCP'},Maandag,{'2022-05-23'},28.4,47.1,18.8,5.7,False
473,1333,88,C4960963650,MEDIDIS,ARCHIMEDESLAAN,11,8218ME,LELYSTAD,NL,8218ME11M,16:00:00,16:30:00,TransportBV,75.0,DEPOT ALMERE,DEPOT ALMERE,16:00:00,17:30:00,17:45:00,17:30:00,7.0,5.0,59.9,298.0,2.0,{'RCP'},Maandag,{'2022-05-23'},14.1,67.0,18.8,0.1,True
474,5918,,C4912929650,NHA,INDUSTRIETERR PANNINGEN,37,5981NK,PANNINGEN,NL,5981NK37N,16:30:00,17:00:00,TransportBV,75.0,DEPOT VENLO,DEPOT VENLO,16:30:00,19:00:00,18:15:00,17:15:00,10.29,9.43,46.45,438.0,0.0,{'RCB'},Maandag,{'2022-05-23'},33.8,38.5,27.4,0.3,True
475,1737,854,C4876684190,MUSCLE MEALS BV,EINSTEINSTRAAT,11,1821BZ,ALKMAAR,NL,1821BZ11M,18:00:00,18:30:00,TransportBV,75.0,DEPOT OPMEER,DEPOT HALFWEG,18:00:00,21:00:00,18:45:00,19:00:00,16.0,7.0,14.0,98.0,0.0,{'RCP'},Maandag,{'2022-05-23'},32.0,18.6,16.1,33.3,False
476,5081,537,C4874075301,TEXTIELSTAD INZAKE PODISE,RINGBAAN-NOORD,101,5046AA,TILBURG,NL,5046AA101T,17:45:00,18:15:00,TransportBV,75.0,DEPOT TILBURG,DEPOT TILBURG,17:45:00,21:00:00,18:15:00,18:15:00,3.0,3.0,83.9,240.0,12.0,{'RCP'},Maandag,{'2022-05-23'},30.1,31.7,23.7,14.6,True
477,1037,969,C4915730837,GENTS BV,LEMELERBERGWEG,15,1101AJ,AMSTERDAM ZUIDOOST,NL,1101AJ15G,16:30:00,17:00:00,TransportBV,75.0,DEPOT AMSTERDAM,DEPOT AMSTERDAM ZUIDOOST,16:30:00,21:00:00,18:00:00,17:00:00,3.0,1.0,15.08,14.0,1.0,{'RCP'},Maandag,{'2022-05-23'},31.4,36.5,28.5,3.6,False
478,8039,81,C5007767838,WELKOOP [EMMELOORD NR6],INDUSTRIEWEG,6,8304AD,EMMELOORD,NL,8304AD61W,19:30:00,20:00:00,TransportBV,75.0,DEPOT ZWOLLE,DEPOT ALMERE,19:30:00,22:00:00,20:30:00,20:45:00,4.0,3.0,20.12,57.0,3.0,{'RCP'},Maandag,{'2022-05-23'},23.9,53.6,22.5,0.0,False
479,3404,,C5104107905,ARTHODENT,PLANTIJNWEG,27,4104BC,CULEMBORG,NL,4104BC27A,16:30:00,17:00:00,TransportBV,75.0,DEPOT NIEUWEGEIN,DEPOT NIEUWEGEIN,16:30:00,21:00:00,18:30:00,17:15:00,6.0,3.0,25.22,75.0,0.0,{'RCP'},Maandag,{'2022-05-23'},74.3,21.5,4.1,0.1,True
480,6634,165,C5119935572,Babypark,HOGEVELDSEWEG,3,4041CP,KESTEREN,NL,4041CP3B,14:30:00,15:00:00,TransportBV,75.0,DEPOT ELST,DEPOT ELST,14:30:00,18:00:00,15:45:00,15:15:00,38.0,38.0,23.16,831.0,49.0,{'RCP'},Maandag,{'2022-05-23'},35.1,31.3,25.5,8.1,True
481,1040,187,C5069006310,Scooterselex B.V.,NETWERK,130,1446WR,PURMEREND,NL,1446WR130S,17:30:00,18:00:00,TransportBV,75.0,DEPOT AMSTERDAM,DEPOT AMSTERDAM ZUIDOOST,17:30:00,21:00:00,18:15:00,18:30:00,9.0,7.0,12.75,88.0,2.0,{'RCP'},Maandag,{'2022-05-23'},53.0,25.4,21.5,0.0,False
482,2991,620,C5042640552,WE LOVE DECO,PIETER ZEEMANWEG,131,3316GZ,DORDRECHT,NL,3316GZ131W,22:30:00,23:00:00,TransportBV,75.0,DEPOT RIDDERKERK,DEPOT RIDDERKERK,22:30:00,00:15:00,23:15:00,23:45:00,28.0,25.5,27.02,624.0,65.0,{'RCP'},Maandag,{'2022-05-23'},27.0,26.0,22.6,24.4,True
483,1055,,C5042116981,BLOOMON (AMSTELVEEN),MEERLANDENWEG,40,1187ZR,AMSTELVEEN,NL,1187ZR40B,19:00:00,19:30:00,TransportBV,75.0,DEPOT AMSTERDAM,DEPOT AMSTERDAM ZUIDOOST,19:00:00,21:00:00,19:30:00,19:45:00,35.0,30.0,30.0,578.0,322.0,{'RCP'},Maandag,{'2022-05-23'},18.7,17.2,14.6,49.5,False
484,246-ND,,C4696878698,INGRAM MICRO VEERWEG 16 H1 (BOL.COM),VEERWEG,16,5145NS,WAALWIJK,NL,5145NS16I,23:00:00,23:30:00,TransportBV,75.0,DEPOT ALMERE,DEPOT ALMERE,23:00:00,01:15:00,00:45:00,00:45:00,48.0,33.0,40.0,1320.0,0.0,{'RCP'},Maandag,{'2022-05-23'},24.1,25.4,17.3,33.2,True
485,2702,,C4672126130,BEVER BV,AMBACHTSWEG,3,2641KS,PIJNACKER,NL,2641KS3B,22:00:00,22:30:00,TransportBV,75.0,DEPOT WADDINXVEEN,DEPOT DEN HOORN,22:00:00,23:00:00,22:30:00,22:45:00,20.0,14.0,50.31,696.0,9.0,{'RCP'},Maandag,{'2022-05-23'},33.7,41.8,22.9,1.7,False
486,4862,,C4709435590,UEG HOLLAND,WERKMANDSBEEMD,32,4907EW,OOSTERHOUT,NL,4907EW32U,22:00:00,22:30:00,TransportBV,75.0,DEPOT BREDA,DEPOT RIDDERKERK,22:00:00,23:00:00,23:15:00,23:00:00,15.0,15.0,58.79,882.0,0.0,{'RCP'},Maandag,{'2022-05-23'},27.0,28.1,28.9,16.0,False
487,5986,,C4734711270,VAN HEEK,MACROWEG,10,5804CL,VENRAY,NL,5804CL10H,15:00:00,15:30:00,TransportBV,75.0,DEPOT VENLO,DEPOT VENLO,15:00:00,18:00:00,15:30:00,15:45:00,27.0,23.5,35.88,843.0,0.0,{'PEU'},Maandag,{'2022-05-23'},28.3,51.6,20.1,0.0,True
488,2601,684,C4730935406,EDERY,ELBE,25,2491BT,DEN HAAG,NL,2491BT25E,17:45:00,18:15:00,TransportBV,75.0,DEPOT DEN HOORN,DEPOT DEN HOORN,17:45:00,21:00:00,18:45:00,18:15:00,2.0,1.0,30.95,31.0,0.0,{'RCP'},Maandag,{'2022-05-23'},26.9,29.6,26.0,17.5,True
489,6610,,C4727424453,SOUPLESSE SUPPLEMENTS,FAHRENHEITSTRAAT,7,6662PZ,ELST,NL,6662PZ7S,16:45:00,17:15:00,TransportBV,75.0,DEPOT ELST,DEPOT ELST,16:45:00,17:45:00,17:00:00,17:15:00,6.0,4.0,72.63,291.0,0.0,{'RCP'},Maandag,{'2022-05-23'},25.4,38.0,24.7,11.9,True
490,252-ZD,,C4627065137,INGRAM MICRO VEERWEG 16 H1 (BOL.COM),VEERWEG,16,5145NS,WAALWIJK,NL,5145NS16I,00:30:00,01:00:00,TransportBV,75.0,DEPOT TILBURG,DEPOT TILBURG,00:30:00,01:45:00,01:30:00,01:15:00,48.0,20.86,40.0,834.0,0.0,{'RCP'},Maandag,{'2022-05-23'},24.1,25.4,17.3,33.2,True
491,1309,348,C4606308645,GEORGE KNIEST BOAT EQUIPMENT BV,MARINAWEG,20,1361AC,ALMERE,NL,1361AC20G,17:30:00,18:00:00,TransportBV,75.0,DEPOT ALMERE,DEPOT ALMERE,17:30:00,19:30:00,20:45:00,19:15:00,6.0,4.0,26.87,103.0,5.0,{'RCP'},Maandag,{'2022-05-23'},26.8,48.9,21.0,3.3,True
492,7374,606,C4743010643,Auto Venderbosch Totaal Service B.V.,DORPSSTRAAT,2,7025AD,HALLE,NL,7025AD2V,20:15:00,20:45:00,TransportBV,75.0,DEPOT APELDOORN,DEPOT ELST,20:15:00,22:00:00,21:00:00,22:00:00,6.0,5.0,9.26,27.0,19.0,{'RCP'},Maandag,{'2022-05-23'},24.7,40.3,22.9,12.2,False
493,1707,388,C4871918549,DE JONG EN ROOS BV,WITTE PAAL,32,1742NL,SCHAGEN,NL,1742NL32J,16:00:00,17:00:00,TransportBV,75.0,DEPOT OPMEER,DEPOT OPMEER,16:00:00,21:00:00,17:30:00,17:15:00,4.0,3.0,44.58,129.0,5.0,{'RCP'},Maandag,{'2022-05-23'},26.1,35.6,28.3,10.1,True
494,7310,366,C4851342422,DAVO iz Wolters Business Company,NERING BOGELWEG,123,7418HJ,DEVENTER,NL,7418HJ123D,22:00:00,22:30:00,TransportBV,75.0,DEPOT APELDOORN,DEPOT APELDOORN,22:00:00,23:00:00,23:00:00,22:45:00,7.0,5.0,18.81,93.0,1.0,{'RCP'},Maandag,{'2022-05-23'},23.7,39.1,25.9,11.3,True
495,9636,848,C4843111017,MASTERTOOLS,STAVANGERWEG,6,9723JC,GRONINGEN,NL,9723JC6M,15:00:00,17:00:00,TransportBV,75.0,DEPOT KOLHAM,DEPOT KOLHAM,15:00:00,19:00:00,15:00:00,17:45:00,18.0,18.0,19.17,310.0,35.0,{'RCP'},Maandag,{'2022-05-23'},26.4,36.7,23.4,13.5,True
496,7581,1046,C4833597489,MEDIPREVENTIECENTRUM,LANDSMANSWEG,113,7556LW,HENGELO,NL,7556LW113M,16:15:00,16:45:00,TransportBV,75.0,DEPOT HENGELO,DEPOT HENGELO,16:15:00,21:00:00,17:00:00,16:45:00,19.0,15.0,29.83,447.0,0.0,{'RCP'},Maandag,{'2022-05-23'},30.5,33.9,24.4,11.3,True
497,2950,877,C4828511431,RH BRANDBEVEILIGING BV,ZWAALWEG,6,2991ZC,BARENDRECHT,NL,2991ZC6B,16:00:00,16:30:00,TransportBV,75.0,DEPOT RIDDERKERK,DEPOT RIDDERKERK,16:00:00,21:00:00,17:45:00,17:15:00,4.0,1.0,26.75,5.0,21.0,{'RCP'},Maandag,{'2022-05-23'},32.9,40.4,24.7,1.9,True
498,5290,,C4853571313,XENOS DC (COOK&CO),SCHUTWEG,8,5145NP,WAALWIJK,NL,5145NP8X,14:00:00,14:30:00,TransportBV,75.0,DEPOT DEN BOSCH,DEPOT DEN BOSCH,14:00:00,15:30:00,15:15:00,14:45:00,48.0,48.0,11.55,386.0,0.0,{'RCP'},Maandag,{'2022-05-23'},32.7,39.1,23.5,4.7,True
499,PREM.3834,,C4828354913,Camera Nu,HOORNSE HOP,3,8321WX,URK,NL,8321WX3C,23:45:00,00:15:00,TransportBV,75.0,DEPOT AMERSFOORT,DEPOT AMERSFOORT,23:45:00,01:20:00,01:30:00,01:15:00,5.0,4.0,36.43,139.0,6.0,{'RCP'},Maandag,{'2022-05-23'},30.4,38.1,20.3,11.3,True
500,56177,647,C4783006252,Sefa's Haircompany B.V.,VLUCHTOORD,27,5406XP,UDEN,NL,5406XP27S,19:00:00,20:00:00,TransportBV,75.0,DEPOT SON,DEPOT SON,19:00:00,21:00:00,20:15:00,20:45:00,4.0,2.0,30.0,60.0,0.0,{'RCP'},Maandag,{'2022-05-23'},31.9,35.7,32.4,0.0,True
501,8911,981,C4768438724,GROENOVATIE BV [JOURE],TJEUKEMEER,3,8502TH,JOURE,NL,8502TH3G,20:30:00,21:00:00,TransportBV,75.0,DEPOT LEEUWARDEN,DEPOT ZWOLLE,20:30:00,22:00:00,22:30:00,23:00:00,4.0,2.0,32.18,60.0,4.0,{'RCP'},Maandag,{'2022-05-23'},23.0,29.7,21.2,26.2,False
502,5228,231,C3034567471,HOOGLAND MEDICAL,GALLIERSWEG,2,5349AT,OSS,NL,5349AT2H,17:30:00,18:00:00,TransportBV,75.0,DEPOT DEN BOSCH,DEPOT VENLO,17:30:00,21:00:00,19:15:00,19:30:00,28.0,28.0,26.4,739.0,0.0,{'RCP'},Maandag,{'2022-05-23'},8.0,67.6,24.3,0.0,False
503,1134,734,C3059609114,Mailorder Logistic Services B.V.,DAALDERWEG,22,1507DT,ZAANDAM,NL,1507DT22M,18:30:00,19:00:00,TransportBV,75.0,DEPOT HALFWEG,DEPOT AMSTERDAM ZUIDOOST,18:30:00,21:00:00,20:00:00,20:15:00,2.0,1.0,91.68,92.0,0.0,{'RCP'},Maandag,{'2022-05-23'},30.1,41.1,22.0,6.8,False
504,2927,851,C3012179925,KEY MUSIC NEDERLAND,VIERHAVENSSTRAAT,123,3029BB,ROTTERDAM,NL,3029BB123K,17:30:00,18:00:00,TransportBV,75.0,DEPOT RIDDERKERK,DEPOT RIDDERKERK,17:30:00,21:00:00,18:15:00,18:15:00,3.43,2.0,49.18,85.0,14.0,{'RCB'},Maandag,{'2022-05-23'},0.0,0.0,0.0,100.0,True
505,8037,623,C3010403953,ELKE DAG IETS LEUKS [CEINTUURBAAN],CEINTUURBAAN,16,8024AA,ZWOLLE,NL,8024AA16E,16:30:00,17:00:00,TransportBV,75.0,DEPOT ZWOLLE,DEPOT ZWOLLE,16:30:00,21:00:00,16:30:00,17:00:00,6.0,2.0,48.54,97.0,0.0,{'RCP'},Maandag,{'2022-05-23'},24.3,39.5,29.3,6.9,True
506,61130,791,C3009749200,US-TECH EUROPA B.V.,NOBELWEG,7,6101XB,ECHT,NL,6101XB7U,16:00:00,16:30:00,TransportBV,75.0,DEPOT BORN,DEPOT BORN,16:00:00,21:00:00,17:45:00,17:00:00,13.0,8.0,12.23,98.0,0.0,"{'RCP', 'PEU'}",Maandag,{'2022-05-23'},26.1,27.5,26.5,19.9,True
507,1182,,C3187439832,JOAN'S SCHUIMRUBBER,MIDDENHAVENSTRAAT,34,1976CL,IJMUIDEN,NL,1976CL34J,16:45:00,17:15:00,TransportBV,75.0,DEPOT HALFWEG,DEPOT HALFWEG,16:45:00,18:00:00,17:15:00,17:30:00,45.0,14.0,4.76,10.0,56.0,{'RCP'},Maandag,{'2022-05-23'},29.6,38.0,25.2,7.2,True
508,5102 WT,,C3222959763,ZOOPLUS [TILBURG],LEDEBOERSTRAAT,46-48,5048AD,TILBURG,NL,5048AD46Z,21:15:00,21:45:00,TransportBV,75.0,DEPOT DEN BOSCH,DEPOT DEN BOSCH,21:15:00,23:30:00,21:30:00,22:00:00,48.0,47.7,30.22,1414.0,28.0,{'LLO'},Maandag,{'2022-05-23'},18.8,18.2,14.5,48.5,True
509,7567,169,C3262099929,MODA ITALIA,SMIRNOFFWEG,4,7602RC,ALMELO,NL,7602RC4M,21:15:00,21:45:00,TransportBV,75.0,DEPOT HENGELO,DEPOT HENGELO,21:15:00,23:00:00,22:30:00,23:30:00,2.0,1.0,53.94,54.0,0.0,{'RCP'},Maandag,{'2022-05-23'},28.0,36.9,27.8,7.3,True
510,3449,140,C3249494299,DOK 2 BV,DE GEER,8,4004LT,TIEL,NL,4004LT8D,18:15:00,18:45:00,TransportBV,75.0,DEPOT NIEUWEGEIN,DEPOT NIEUWEGEIN,18:15:00,21:00:00,19:30:00,19:15:00,20.0,10.0,6.02,27.0,33.0,{'RCP'},Maandag,{'2022-05-23'},23.6,41.2,23.3,12.0,True
511,4894,748,C3228796387,FORZA REFURBISHED BV,GRAAF ENGELBERTLAAN,75,4837DS,BREDA,NL,4837DS75F,22:30:00,23:00:00,TransportBV,75.0,DEPOT BREDA,DEPOT RIDDERKERK,22:30:00,23:30:00,23:15:00,23:30:00,5.0,2.0,138.11,276.0,0.0,{'RCP'},Maandag,{'2022-05-23'},21.9,29.7,22.3,26.1,False
512,9616,,C3147616667,TOOLMAX MAXSTORE,DE HALLEN,11,9723TW,GRONINGEN,NL,9723TW1T,21:45:00,22:15:00,TransportBV,75.0,DEPOT KOLHAM,DEPOT KOLHAM,21:45:00,23:30:00,22:30:00,22:15:00,48.0,21.5,17.55,332.0,45.0,{'RCP'},Maandag,{'2022-05-23'},22.5,33.9,22.9,20.7,True
513,5142 WL,,C3129124894,Toppy B.V.,DE KEMPKENS,3,5465NB,VEGHEL,NL,5465NB3T,17:00:00,17:30:00,TransportBV,75.0,DEPOT DEN BOSCH,DEPOT DEN BOSCH,17:00:00,19:00:00,18:30:00,17:45:00,48.0,38.0,13.96,459.0,71.0,{'RCP'},Maandag,{'2022-05-23'},13.1,26.1,27.3,33.5,True
514,5034,,C3181585212,BABY DUMP,NIJNSELSEWEG,26,5492HE,SINT OEDENRODE,NL,5492HE26B,19:30:00,20:00:00,TransportBV,75.0,DEPOT TILBURG,DEPOT SON,19:30:00,21:00:00,20:45:00,20:00:00,38.0,26.0,23.16,573.0,30.0,{'RCP'},Maandag,{'2022-05-23'},28.5,31.7,21.7,18.1,False
515,8938,981,C3159143381,A.TH. DE BOER & ZONEN BV [DE HEMMEN],DE HEMMEN,15,9206AG,DRACHTEN,NL,9206AG15B,21:30:00,22:00:00,TransportBV,75.0,DEPOT LEEUWARDEN,DEPOT ZWOLLE,21:30:00,22:45:00,22:30:00,23:00:00,30.0,30.0,17.02,434.0,76.0,{'RCP'},Maandag,{'2022-05-23'},17.2,43.1,22.9,16.8,False
516,1320,621,C2752699532,MUSCLE MEAT,STICHTSE KADE,47,1244NV,ANKEVEEN,NL,1244NV47M,16:30:00,17:00:00,TransportBV,75.0,DEPOT ALMERE,DEPOT AMSTERDAM ZUIDOOST,16:30:00,21:00:00,21:15:00,17:45:00,10.0,4.0,17.66,71.0,0.0,{'RCP'},Maandag,{'2022-05-23'},24.3,22.9,19.3,33.5,False
517,7334,,C2750435001,NEDGAME B.V.,LAAN VAN DE MAAGD,21,7324BR,APELDOORN,NL,7324BR21N,17:30:00,18:00:00,TransportBV,75.0,DEPOT APELDOORN,DEPOT APELDOORN,17:30:00,21:00:00,18:30:00,18:15:00,15.0,8.0,8.99,72.0,0.0,{'RCP'},Maandag,{'2022-05-23'},31.4,46.8,19.0,2.8,True
518,56118,,C2784984860,MODEXPRESS iz SCAPINO,VOSSENBEEMD,111,5705CL,HELMOND,NL,5705CL111M,20:30:00,21:00:00,TransportBV,75.0,DEPOT SON,DEPOT DEN BOSCH,20:30:00,22:00:00,21:30:00,21:45:00,28.0,28.0,6.05,169.0,0.0,"{'RCP', 'PEU'}",Maandag,{'2022-05-23'},41.6,29.9,23.6,4.9,False
519,9619,289,C2770085045,DWC PRINT BV,TINNEGIETER,58,9502EX,STADSKANAAL,NL,9502EX58D,18:00:00,18:30:00,TransportBV,75.0,DEPOT KOLHAM,DEPOT OPMEER,18:00:00,21:00:00,20:45:00,21:15:00,2.0,1.0,46.79,47.0,0.0,{'RCP'},Maandag,{'2022-05-23'},24.4,40.9,18.9,15.7,False
520,2908,877,C2769732249,RHO-DELTA AUTOMOTIVE,ESCUDOSTRAAT,2,2991XV,BARENDRACHT,NL,2991XV2R,16:45:00,17:15:00,TransportBV,75.0,DEPOT RIDDERKERK,DEPOT RIDDERKERK,16:45:00,21:00:00,17:45:00,17:15:00,15.0,6.0,31.5,168.0,21.0,{'RCP'},Maandag,{'2022-05-23'},26.2,31.6,26.4,15.8,True
521,61109 WL,,C2757365236,MEDIREVA GRONSVELD,VEILINGWEG,33,6247EP,GRONSVELD,NL,6247EP33M,18:30:00,19:00:00,TransportBV,75.0,DEPOT BORN,DEPOT BORN,18:30:00,21:00:00,20:00:00,19:15:00,48.0,33.0,25.43,836.0,3.0,{'RCP'},Maandag,{'2022-05-23'},20.7,27.7,50.0,1.6,True
522,4416,,C2668661225,Hermie Online BV,INDUSTRIELAAN,5,9900,EEKLO,BE,B9900EEK5,19:00:00,19:30:00,TransportBV,90.0,DEPOT GOES,DEPOT WILLEBROEK,19:00:00,21:30:00,21:00:00,20:30:00,48.0,45.0,30.0,1260.0,90.0,{'RCP'},Maandag,{'2022-05-23'},12.0,18.0,15.4,54.6,False
523,48141,,C2693266012,VENTE EXCLUSIVE [LOT] [BE],HEIDEVELD,64,1651,LOT,BE,B1651LOT64,15:00:00,19:00:00,TransportBV,90.0,DEPOT BREDA,DEPOT WILLEBROEK,15:00:00,21:00:00,17:30:00,19:30:00,30.0,3.5,30.0,104.0,1.0,{'PEU'},Maandag,{'2022-05-23'},29.1,21.9,20.5,28.5,False
524,7344,3,C2712638484,SIRA LOGISTICS IZ SCHROEVENSPECIALIST,LEESTENSEWEG,10,7207EA,ZUTPHEN,NL,7207EA10S,18:15:00,18:45:00,TransportBV,75.0,DEPOT APELDOORN,DEPOT APELDOORN,18:15:00,21:00:00,19:15:00,19:45:00,5.0,3.0,37.66,113.0,0.0,{'RCP'},Maandag,{'2022-05-23'},21.4,33.9,30.1,14.7,True
525,4426,,C2700859560,PARUZZI BV,KREEFT,16,4401NZ,YERSEKE,NL,4401NZ16P,17:00:00,17:30:00,TransportBV,75.0,DEPOT GOES,DEPOT BREDA,17:00:00,21:00:00,19:45:00,18:30:00,15.0,11.0,13.05,128.0,15.0,{'RCP'},Maandag,{'2022-05-23'},15.3,33.3,24.2,27.2,False
526,8004,773,C2911793991,SUMMERY COSMEDICAL GROUP,NIJVERDALSEWEG,145,7461AG,RIJSSEN,NL,7461AG145S,17:00:00,17:30:00,TransportBV,75.0,DEPOT ZWOLLE,DEPOT ZWOLLE,17:00:00,19:00:00,18:30:00,18:30:00,4.0,3.0,38.35,115.0,0.0,{'RCP'},Maandag,{'2022-05-23'},20.0,52.1,25.8,2.1,True
527,6116,,C2956886601,ALLE KABELS [locatie Kerkrade],MERCURIUSSTRAAT,9,6468ES,KERKRADE,NL,6468ES9A,23:15:00,23:45:00,TransportBV,75.0,DEPOT BORN,DEPOT BREDA,23:15:00,00:30:00,23:45:00,01:45:00,45.0,15.0,60.78,890.0,21.0,{'RCP'},Maandag,{'2022-05-23'},30.5,33.0,26.0,10.5,False
528,PREM.1009,,C2926620795,KABELSHOP [ALMERE],KONINGSBELTWEG,52,1329AK,ALMERE,NL,1329AK52K,00:00:00,00:30:00,TransportBV,75.0,DEPOT AMSTERDAM ZUIDOOST,DEPOT UTRECHT,00:00:00,01:00:00,01:00:00,01:15:00,34.5,22.0,44.64,957.0,25.0,"{'RCP', 'PEU'}",Maandag,{'2022-05-23'},25.8,32.8,26.8,14.6,False
529,3469 XL,,C2833985212,SORGENTE,BREDE HOON,4,3991CW,HOUTEN,NL,3991CW4S,17:00:00,18:00:00,TransportBV,75.0,DEPOT NIEUWEGEIN,DEPOT UTRECHT,17:00:00,19:00:00,18:00:00,18:15:00,48.0,39.0,42.31,1650.0,0.0,{'RCP'},Maandag,{'2022-05-23'},35.1,31.1,33.8,0.0,False
